latitude,longitude,name,zipcode,county
61.195420,-149.909000,Burger King,99503,Anchorage Municipality
61.215260,-149.812810,Burger King,99508,Anchorage Municipality
61.144310,-149.865680,Burger King,99518,Anchorage Municipality
64.675713,-147.091316,Burger King,99702,Fairbanks North Star Borough
61.275840,-149.819600,Burger King,99506,Anchorage Municipality
61.253860,-149.711470,Burger King,99505,Anchorage Municipality
64.826806,-147.627839,Burger King,99790,Yukon-Koyukuk Census Area
61.576750,-149.411120,Burger King,99654,Matanuska-Susitna Borough
33.238050,-86.818340,Burger King,35007,Shelby County
34.276630,-86.205540,Burger King,35951,Marshall County
32.920700,-85.957980,Burger King,35010,Tallapoosa County
31.275940,-86.518390,Burger King,36420,Covington County
33.668020,-85.826920,Burger King,36206,Calhoun County
34.324450,-86.502820,Burger King,35016,Marshall County
34.794580,-86.971670,Burger King,35613,Limestone County
34.782230,-86.937580,Burger King,35613,Limestone County
31.022300,-87.493930,Burger King,36562,Baldwin County
32.605210,-85.480070,Burger King,36832,Lee County
32.570370,-85.500320,Burger King,36832,Lee County
30.884770,-87.787880,Burger King,36507,Baldwin County
33.402030,-86.953994,Burger King,35020,Jefferson County
33.361560,-86.998930,Burger King,35020,Jefferson County
33.596100,-86.645775,Burger King,35235,Jefferson County
33.564390,-86.897130,Burger King,35214,Jefferson County
33.583500,-86.774110,Burger King,35217,Jefferson County
33.503980,-86.807270,Burger King,35233,Jefferson County
33.495960,-86.877750,Burger King,35208,Jefferson County
33.509785,-86.788589,Burger King,35233,Jefferson County
33.465580,-86.821910,Burger King,35209,Jefferson County
33.430340,-86.707790,Burger King,35243,Jefferson County
33.639050,-86.622640,Burger King,35235,Jefferson County
33.505230,-86.849340,Burger King,35204,Jefferson County
33.589670,-86.699490,Burger King,35206,Jefferson County
33.596160,-86.694490,Burger King,35206,Jefferson County
34.211030,-86.154390,Burger King,35957,Marshall County
31.134830,-87.068890,Burger King,36426,Escambia County
33.148229,-86.749357,Burger King,35040,Shelby County
33.351173,-86.604219,Burger King,35043,Shelby County
33.262820,-86.349870,Burger King,35014,Talladega County
32.802850,-86.586130,Burger King,36091,Chilton County
34.275714,-85.880790,Burger King,35961,DeKalb County
34.168420,-86.826360,Burger King,35058,Cullman County
34.174370,-86.843452,Burger King,35058,Cullman County
30.651720,-87.912650,Burger King,36527,Baldwin County
30.655989,-87.852242,Burger King,36526,Baldwin County
34.579690,-87.020590,Burger King,35601,Morgan County
34.566390,-86.973480,Burger King,35601,Morgan County
34.538390,-86.913890,Burger King,35603,Morgan County
32.503462,-87.825415,Burger King,36742,Marengo County
31.212510,-85.361820,Burger King,36321,Houston County
31.190640,-85.402580,Burger King,36301,Houston County
31.227450,-85.431960,Burger King,36305,Houston County
31.251870,-85.427260,Burger King,36303,Houston County
31.253080,-85.391120,Burger King,36303,Houston County
31.417314,-86.068025,Burger King,36323,Coffee County
31.323780,-85.831790,Burger King,36330,Coffee County
31.882300,-85.145770,Burger King,36027,Barbour County
31.444440,-86.953530,Burger King,36432,Conecuh County
33.498870,-86.908250,Burger King,35218,Jefferson County
30.512810,-87.886290,Burger King,36532,Baldwin County
