latitude,longitude,name,zipcode,county
32.606508,-85.487204,Chipotle,36832,Lee County
33.509490,-86.802879,Chipotle,35233,Jefferson County
33.520279,-86.811508,Chipotle,35203,Jefferson County
33.482700,-86.823400,Chipotle,35205,Jefferson County
34.740977,-86.665709,Chipotle,35806,Madison County
30.675318,-88.143700,Chipotle,36609,Mobile County
30.681403,-88.223811,Chipotle,36609,Mobile County
32.360360,-86.162914,Chipotle,36117,Montgomery County
32.615679,-85.407409,Chipotle,36801,Lee County
32.460110,-86.391980,Chipotle,36066,Autauga County
33.595530,-86.647300,Chipotle,35235,Jefferson County
33.210856,-87.553479,Chipotle,35476,Tuscaloosa County
33.194370,-87.526314,Chipotle,35404,Tuscaloosa County
33.438984,-86.788742,Chipotle,35216,Jefferson County
36.334733,-94.185127,Chipotle,72718,Benton County
35.090446,-92.417587,Chipotle,72032,Faulkner County
36.112718,-94.145113,Chipotle,72703,Washington County
36.067408,-94.165980,Chipotle,72703,Washington County
34.751961,-92.341797,Chipotle,72205,Pulaski County
34.794188,-92.400367,Chipotle,72212,Pulaski County
33.464700,-112.273000,Chipotle,85037,Maricopa County
33.438104,-112.556597,Chipotle,85395,Maricopa County
32.879177,-111.711030,Chipotle,85122,Pinal County
33.305597,-111.900063,Chipotle,85224,Maricopa County
33.263520,-111.858430,Chipotle,85286,Maricopa County
33.317710,-111.968490,Chipotle,85284,Maricopa County
35.189813,-111.661762,Chipotle,86001,Coconino County
33.306802,-111.745921,Chipotle,85295,Maricopa County
33.328440,-111.789970,Chipotle,85225,Maricopa County
33.377660,-111.807300,Chipotle,85204,Maricopa County
33.279710,-111.789630,Chipotle,85297,Maricopa County
33.325320,-111.687090,Chipotle,85296,Maricopa County
33.665664,-112.203097,Chipotle,85308,Maricopa County
33.534942,-112.261331,Chipotle,85305,Maricopa County
33.553006,-112.185030,Chipotle,85302,Maricopa County
33.610780,-112.185390,Chipotle,85306,Maricopa County
33.463880,-112.358250,Chipotle,85392,Maricopa County
35.223355,-114.036116,Chipotle,86413,Mohave County
34.472787,-114.342782,Chipotle,86403,Mohave County
33.377650,-112.169526,Chipotle,85041,Maricopa County
32.355091,-111.091918,Chipotle,85741,Pima County
33.074572,-112.042935,Chipotle,85121,Pinal County
33.390296,-111.857132,Chipotle,85210,Maricopa County
33.380287,-111.601490,Chipotle,85208,Maricopa County
33.467572,-111.683873,Chipotle,85215,Maricopa County
33.379176,-111.757200,Chipotle,85234,Maricopa County
33.384600,-111.691120,Chipotle,85206,Maricopa County
32.398747,-110.955734,Chipotle,85737,Pima County
33.636950,-112.233550,Chipotle,85382,Maricopa County
33.710856,-112.270264,Chipotle,85373,Maricopa County
