latitude,longitude,name,zipcode,county
61.217419,-149.864219,Domino's,99513,Anchorage Municipality
61.223847,-149.733674,Domino's,99504,Anchorage Municipality
61.108509,-149.857706,Domino's,99515,Anchorage Municipality
61.188191,-149.893723,Domino's,99503,Anchorage Municipality
58.367126,-134.589004,Domino's,99824,Juneau City and Borough
58.300679,-134.416981,Domino's,99824,Juneau City and Borough
33.217567,-86.825462,Domino's,35007,Shelby County
32.936701,-85.975349,Domino's,35089,Coosa County
32.606650,-85.485811,Domino's,36832,Lee County
30.884818,-87.787905,Domino's,36507,Baldwin County
33.336690,-86.915767,Domino's,35020,Jefferson County
33.363402,-86.997302,Domino's,35020,Jefferson County
33.523976,-86.725989,Domino's,35213,Jefferson County
33.630094,-86.684920,Domino's,35215,Jefferson County
33.507695,-86.798914,Domino's,35233,Jefferson County
33.653328,-86.647703,Domino's,35235,Jefferson County
33.455392,-86.736045,Domino's,35243,Jefferson County
33.384461,-86.736087,Domino's,35242,Shelby County
33.347820,-86.636499,Domino's,35043,Shelby County
33.255860,-86.344389,Domino's,35014,Talladega County
30.655276,-87.903795,Domino's,36527,Baldwin County
32.497509,-87.844168,Domino's,36732,Marengo County
33.750711,-87.058739,Domino's,35148,Walker County
33.466111,-86.914834,Domino's,35064,Jefferson County
30.508378,-87.881204,Domino's,36532,Baldwin County
30.399048,-87.683161,Domino's,36535,Baldwin County
33.566894,-86.897112,Domino's,35214,Jefferson County
33.612010,-86.842759,Domino's,35068,Jefferson County
30.261889,-87.688629,Domino's,36511,Baldwin County
33.464011,-86.820528,Domino's,35209,Jefferson County
33.380017,-86.799231,Domino's,35244,Jefferson County
33.452636,-86.982335,Domino's,35061,Jefferson County
33.848814,-87.280728,Domino's,35501,Walker County
32.855210,-85.192189,Domino's,31833,Troup County
33.542760,-86.587679,Domino's,35094,Jefferson County
33.592599,-86.123195,Domino's,35096,Talladega County
30.679380,-88.076487,Domino's,36604,Mobile County
30.612420,-88.073799,Domino's,36605,Mobile County
30.744936,-88.111013,Domino's,36612,Mobile County
30.592862,-88.168650,Domino's,36619,Mobile County
30.689660,-88.171730,Domino's,36609,Mobile County
30.640108,-88.187428,Domino's,36609,Mobile County
30.759391,-88.222693,Domino's,36618,Mobile County
30.683455,-88.224017,Domino's,36609,Mobile County
33.094334,-86.865130,Domino's,35115,Shelby County
32.363901,-86.269752,Domino's,36106,Montgomery County
32.337449,-86.196160,Domino's,36106,Montgomery County
32.341668,-86.339814,Domino's,36113,Montgomery County
32.384605,-86.261576,Domino's,36107,Montgomery County
32.393068,-86.198269,Domino's,36115,Montgomery County
33.237171,-87.561718,Domino's,35473,Tuscaloosa County
33.674123,-86.410018,Domino's,35120,St. Clair County
33.955092,-86.465702,Domino's,35121,Blount County
32.648292,-85.383789,Domino's,36801,Lee County
30.290281,-87.590113,Domino's,36561,Baldwin County
33.315989,-86.799304,Domino's,35124,Shelby County
33.574367,-86.272707,Domino's,35125,St. Clair County
32.416396,-85.043732,Domino's,36869,Russell County
32.470486,-85.097609,Domino's,36870,Lee County
32.467357,-86.450821,Domino's,36066,Autauga County
30.539215,-87.708484,Domino's,36580,Baldwin County
30.801360,-88.071824,Domino's,36571,Mobile County
32.433170,-87.049418,Domino's,36701,Dallas County
33.769096,-86.467432,Domino's,35146,St. Clair County
33.175931,-86.289961,Domino's,35150,Talladega County
31.772398,-85.975589,Domino's,36079,Pike County
33.617143,-86.616024,Domino's,35235,Jefferson County
33.169463,-87.498627,Domino's,35404,Tuscaloosa County
33.198415,-87.540384,Domino's,35404,Tuscaloosa County
33.432521,-86.812001,Domino's,35216,Jefferson County
33.817965,-86.807743,Domino's,35180,Jefferson County
32.580431,-86.210602,Domino's,36092,Elmore County
36.438622,-94.237857,Domino's,72714,Benton County
36.357685,-94.243857,Domino's,72719,Benton County
34.621036,-92.497235,Domino's,72022,Saline County
34.944652,-92.008844,Domino's,72007,Lonoke County
35.092347,-92.469566,Domino's,72034,Faulkner County
36.077150,-94.175516,Domino's,72703,Washington County
35.378360,-94.409298,Domino's,72901,Sebastian County
36.268326,-93.142383,Domino's,72601,Boone County
34.503754,-93.047377,Domino's,71913,Garland County
34.881294,-92.124959,Domino's,72076,Pulaski County
34.772470,-92.402929,Domino's,72212,Pulaski County
34.763900,-92.451609,Domino's,72211,Pulaski County
34.493397,-94.373073,Domino's,71945,Polk County
34.855925,-92.402547,Domino's,72113,Pulaski County
36.351296,-92.363025,Domino's,72653,Baxter County
34.206214,-92.007166,Domino's,71601,Jefferson County
34.241005,-92.053603,Domino's,71602,Jefferson County
36.333712,-94.127496,Domino's,72758,Benton County
35.250265,-91.694173,Domino's,72082,White County
34.819801,-92.233947,Domino's,72116,Pulaski County
36.181358,-94.520790,Domino's,72761,Benton County
36.175374,-94.139148,Domino's,72745,Benton County
35.471594,-94.356081,Domino's,72956,Crawford County
35.161615,-90.184653,Domino's,72364,Crittenden County
33.493475,-112.291020,Domino's,85037,Maricopa County
33.435319,-112.303450,Domino's,85323,Maricopa County
35.110255,-114.597924,Domino's,86429,Mohave County
34.565879,-111.862133,Domino's,86325,Yavapai County
33.754730,-111.990954,Domino's,85331,Maricopa County
34.731661,-112.009652,Domino's,86326,Yavapai County
33.609127,-112.330288,Domino's,85335,Maricopa County
35.206561,-111.647316,Domino's,86001,Coconino County
35.185312,-111.661641,Domino's,86001,Coconino County
35.211482,-111.610022,Domino's,86001,Coconino County
33.609888,-112.168642,Domino's,85304,Maricopa County
33.669278,-112.186494,Domino's,85308,Maricopa County
33.553216,-112.169352,Domino's,85302,Maricopa County
33.522334,-112.202942,Domino's,85303,Maricopa County
31.902204,-110.987231,Domino's,85629,Pima County
35.218685,-114.032352,Domino's,86413,Mohave County
34.477425,-114.336197,Domino's,86403,Mohave County
33.389490,-112.168169,Domino's,85041,Maricopa County
33.422512,-111.839426,Domino's,85201,Maricopa County
33.405175,-111.874720,Domino's,85202,Maricopa County
32.395749,-110.995524,Domino's,85737,Pima County
34.152539,-114.284393,Domino's,92242,San Bernardino County
34.238404,-111.322898,Domino's,85541,Gila County
33.582299,-112.272409,Domino's,85351,Maricopa County
33.596011,-112.219164,Domino's,85381,Maricopa County
33.681700,-112.236504,Domino's,85382,Maricopa County
33.581070,-112.133844,Domino's,85051,Maricopa County
33.584921,-111.977674,Domino's,85028,Maricopa County
33.338561,-111.993960,Domino's,85044,Maricopa County
33.306121,-112.056273,Domino's,85048,Maricopa County
33.613012,-111.977635,Domino's,85254,Maricopa County
33.495168,-112.099373,Domino's,85015,Maricopa County
33.625368,-112.098266,Domino's,85023,Maricopa County
33.567423,-112.103126,Domino's,85021,Maricopa County
33.480426,-112.028729,Domino's,85006,Maricopa County
33.479524,-112.073641,Domino's,85006,Maricopa County
33.596811,-112.014738,Domino's,85028,Maricopa County
33.392368,-112.069778,Domino's,85040,Maricopa County
33.640402,-112.010753,Domino's,85032,Maricopa County
33.639785,-112.134927,Domino's,85053,Maricopa County
33.498869,-111.986703,Domino's,85018,Maricopa County
33.698437,-112.140054,Domino's,85310,Maricopa County
33.480631,-112.150557,Domino's,85031,Maricopa County
33.466141,-112.167604,Domino's,85035,Maricopa County
33.480140,-111.962127,Domino's,85008,Maricopa County
33.523029,-112.134101,Domino's,85019,Maricopa County
33.480488,-112.202391,Domino's,85033,Maricopa County
33.539503,-112.134173,Domino's,85051,Maricopa County
33.654709,-112.063410,Domino's,85023,Maricopa County
33.494745,-112.223321,Domino's,85033,Maricopa County
33.423091,-112.225685,Domino's,85043,Maricopa County
33.560700,-112.065125,Domino's,85020,Maricopa County
34.544214,-112.468488,Domino's,86303,Yavapai County
34.608563,-112.320874,Domino's,86314,Yavapai County
33.589433,-111.835154,Domino's,85259,Maricopa County
33.636985,-111.925663,Domino's,85254,Maricopa County
33.698154,-111.890404,Domino's,85255,Maricopa County
33.537748,-111.908394,Domino's,85250,Maricopa County
33.509538,-111.911005,Domino's,85251,Maricopa County
34.864001,-111.792940,Domino's,86336,Yavapai County
33.637852,-112.272006,Domino's,85382,Maricopa County
33.363607,-111.930473,Domino's,85283,Maricopa County
33.333943,-111.945826,Domino's,85284,Maricopa County
33.420012,-111.926154,Domino's,85281,Maricopa County
33.407527,-111.952848,Domino's,85282,Maricopa County
32.229246,-110.995121,Domino's,85701,Pima County
32.202065,-110.875234,Domino's,85711,Pima County
32.177671,-111.002120,Domino's,85713,Pima County
32.206642,-110.933550,Domino's,85701,Pima County
32.264822,-110.926136,Domino's,85719,Pima County
32.323394,-111.042749,Domino's,85741,Pima County
32.280035,-110.978413,Domino's,85705,Pima County
32.236392,-110.868548,Domino's,85712,Pima County
32.320211,-110.975065,Domino's,85704,Pima County
32.134956,-110.968064,Domino's,85714,Pima County
32.308962,-110.846928,Domino's,85750,Pima County
32.348619,-111.099828,Domino's,85741,Pima County
32.106025,-110.802488,Domino's,85730,Pima County
32.220710,-110.811361,Domino's,85710,Pima County
32.192016,-110.808243,Domino's,85730,Pima County
32.234897,-110.956914,Domino's,85719,Pima County
32.190641,-110.965424,Domino's,85701,Pima County
34.579343,-117.415145,Domino's,92301,San Bernardino County
37.774953,-122.264248,Domino's,94501,Alameda County
37.890912,-122.289488,Domino's,94706,Alameda County
33.568396,-117.723357,Domino's,92656,Orange County
34.139527,-117.577485,Domino's,91701,San Bernardino County
33.816435,-117.941642,Domino's,92802,Orange County
33.834757,-117.889114,Domino's,92806,Orange County
33.851646,-117.792362,Domino's,92807,Orange County
38.004184,-121.786791,Domino's,94509,Contra Costa County
37.998484,-121.839700,Domino's,94509,Contra Costa County
34.523860,-117.216879,Domino's,92395,San Bernardino County
33.872888,-118.072240,Domino's,90703,Los Angeles County
37.360571,-120.604382,Domino's,95301,Merced County
34.133388,-117.908949,Domino's,91722,Los Angeles County
35.423434,-119.020784,Domino's,93301,Kern County
35.354145,-119.028350,Domino's,93304,Kern County
35.317509,-119.030313,Domino's,93304,Kern County
35.394209,-118.949510,Domino's,93305,Kern County
35.318011,-119.073614,Domino's,93309,Kern County
35.383670,-119.109012,Domino's,93312,Kern County
34.087028,-117.957554,Domino's,91706,Los Angeles County
34.897549,-117.033775,Domino's,92311,San Bernardino County
33.947065,-116.977155,Domino's,92223,Riverside County
33.971928,-118.188119,Domino's,90201,Los Angeles County
33.889462,-118.135031,Domino's,90706,Los Angeles County
37.516094,-122.270454,Domino's,94070,San Mateo County
37.872399,-122.267432,Domino's,94703,Alameda County
37.850236,-122.270588,Domino's,94705,Alameda County
34.060313,-118.389935,Domino's,90212,Los Angeles County
34.243676,-116.902457,Domino's,92315,San Bernardino County
37.378803,-118.420276,Domino's,93514,Inyo County
34.076659,-117.378894,Domino's,92316,San Bernardino County
33.610392,-114.604707,Domino's,85328,La Paz County
32.978470,-115.543036,Domino's,92281,Imperial County
33.932169,-117.894036,Domino's,92821,Orange County
37.934083,-121.697688,Domino's,94513,Contra Costa County
33.836722,-117.994049,Domino's,90620,Orange County
34.168129,-118.322122,Domino's,91506,Los Angeles County
34.184989,-118.349317,Domino's,91505,Los Angeles County
34.185507,-118.309600,Domino's,91502,Los Angeles County
32.678289,-115.501218,Domino's,92231,Imperial County
33.673174,-117.250616,Domino's,92587,Riverside County
36.978153,-121.969070,Domino's,95010,Santa Cruz County
33.164179,-117.352280,Domino's,92054,San Diego County
33.102854,-117.266343,Domino's,92009,San Diego County
38.632505,-121.328010,Domino's,95608,Sacramento County
34.396010,-119.513754,Domino's,93108,Santa Barbara County
33.811780,-118.264204,Domino's,90745,Los Angeles County
37.694541,-122.056213,Domino's,94546,Alameda County
37.606198,-120.938604,Domino's,95351,Stanislaus County
39.723065,-121.848785,Domino's,95926,Butte County
34.032775,-117.689712,Domino's,91710,San Bernardino County
33.982872,-117.712831,Domino's,91710,San Bernardino County
32.638374,-117.078924,Domino's,91910,San Diego County
32.640559,-116.991616,Domino's,91913,San Diego County
34.106863,-117.719611,Domino's,91767,Los Angeles County
33.889436,-118.207472,Domino's,90221,Los Angeles County
37.970344,-122.011246,Domino's,94518,Contra Costa County
33.854473,-117.562366,Domino's,92879,Riverside County
33.601349,-117.866857,Domino's,92625,Orange County
32.682929,-117.178914,Domino's,92118,San Diego County
33.680167,-117.920000,Domino's,92626,Orange County
33.633520,-117.916271,Domino's,92627,Orange County
34.094805,-117.863664,Domino's,91724,Los Angeles County
34.005262,-118.410626,Domino's,90230,Los Angeles County
33.816733,-118.044898,Domino's,90630,Orange County
37.693020,-122.471166,Domino's,94015,San Mateo County
37.817903,-121.996402,Domino's,94526,Contra Costa County
38.562255,-121.769163,Domino's,95616,Yolo County
35.776076,-119.236126,Domino's,93250,Kern County
33.997165,-117.813593,Domino's,91765,Los Angeles County
33.925565,-118.155133,Domino's,90242,Los Angeles County
34.139511,-117.966374,Domino's,91008,Los Angeles County
32.787777,-116.944133,Domino's,92020,San Diego County
32.807860,-116.949813,Domino's,92020,San Diego County
32.795706,-115.570128,Domino's,92249,Imperial County
