latitude,longitude,name,zipcode,county
61.137560,-149.841589,Dairy Queen,99518,Anchorage Municipality
61.181119,-149.872527,Dairy Queen,99503,Anchorage Municipality
61.144311,-149.866969,Dairy Queen,99518,Anchorage Municipality
61.599723,-149.120874,Dairy Queen,99654,Matanuska-Susitna Borough
60.478904,-151.077366,Dairy Queen,99669,Kenai Peninsula Borough
61.581645,-149.431113,Dairy Queen,99654,Matanuska-Susitna Borough
33.238065,-86.802170,Dairy Queen,35007,Shelby County
31.308062,-86.479548,Dairy Queen,36421,Covington County
34.335996,-86.503594,Dairy Queen,35016,Marshall County
34.800228,-87.222272,Dairy Queen,35652,Lauderdale County
33.334988,-86.917679,Dairy Queen,35020,Jefferson County
33.455013,-86.735462,Dairy Queen,35243,Jefferson County
33.491759,-86.703797,Dairy Queen,35223,Jefferson County
33.418865,-86.680534,Dairy Queen,35242,Shelby County
33.640159,-86.623100,Dairy Queen,35235,Jefferson County
34.213222,-86.156822,Dairy Queen,35957,Marshall County
33.347466,-86.635539,Dairy Queen,35043,Shelby County
33.696406,-86.605504,Dairy Queen,35173,Jefferson County
34.162369,-86.841362,Dairy Queen,35058,Cullman County
34.180577,-86.846963,Dairy Queen,35058,Cullman County
34.568114,-87.011991,Dairy Queen,35601,Morgan County
34.545305,-86.984961,Dairy Queen,35603,Morgan County
31.230978,-85.432236,Dairy Queen,36305,Houston County
31.218688,-85.397583,Dairy Queen,36301,Houston County
31.414570,-86.066969,Dairy Queen,36323,Coffee County
31.318826,-85.830340,Dairy Queen,36330,Coffee County
34.795909,-87.673276,Dairy Queen,35630,Lauderdale County
34.436641,-85.744881,Dairy Queen,35967,DeKalb County
34.009180,-85.987808,Dairy Queen,35901,Etowah County
33.651844,-86.815941,Dairy Queen,35068,Jefferson County
30.301738,-87.682941,Dairy Queen,36511,Baldwin County
34.323251,-86.313118,Dairy Queen,35976,Marshall County
34.074625,-86.779764,Dairy Queen,35077,Cullman County
34.424754,-86.928438,Dairy Queen,35640,Morgan County
32.195298,-86.415220,Dairy Queen,36043,Montgomery County
33.446559,-86.996654,Dairy Queen,35061,Jefferson County
34.643371,-86.566070,Dairy Queen,35802,Madison County
34.749110,-86.581836,Dairy Queen,35801,Madison County
31.549331,-87.878992,Dairy Queen,36545,Clarke County
33.671685,-85.822758,Dairy Queen,36206,Calhoun County
33.737913,-84.977769,Dairy Queen,30179,Carroll County
34.755761,-86.732068,Dairy Queen,35757,Madison County
31.307771,-85.495972,Dairy Queen,36303,Houston County
30.685757,-88.172026,Dairy Queen,36609,Mobile County
30.682236,-88.068436,Dairy Queen,36604,Mobile County
30.701065,-88.116875,Dairy Queen,36607,Mobile County
