latitude,longitude,name,zipcode,county
32.607194,-85.481744,Five Guys,36832,Lee County
33.410370,-86.668376,Five Guys,35242,Shelby County
33.470479,-86.771655,Five Guys,35205,Jefferson County
34.144742,-86.847444,Five Guys,35058,Cullman County
30.653753,-87.905298,Five Guys,36527,Baldwin County
34.560172,-86.971870,Five Guys,35601,Morgan County
31.238050,-85.461595,Five Guys,36305,Houston County
34.830959,-87.623891,Five Guys,35630,Lauderdale County
30.365204,-87.683069,Five Guys,36535,Baldwin County
33.606035,-86.806095,Five Guys,35068,Jefferson County
33.370173,-86.803987,Five Guys,35244,Jefferson County
34.744473,-86.601673,Five Guys,35816,Madison County
34.679111,-86.550684,Five Guys,35802,Madison County
34.743270,-86.678663,Five Guys,35806,Madison County
30.697171,-88.143155,Five Guys,36607,Mobile County
30.675430,-88.171193,Five Guys,36609,Mobile County
30.653608,-88.117866,Five Guys,36606,Mobile County
32.356014,-86.264780,Five Guys,36106,Montgomery County
32.359308,-86.165966,Five Guys,36117,Montgomery County
32.458721,-86.398422,Five Guys,36066,Autauga County
33.194036,-87.527747,Five Guys,35404,Tuscaloosa County
35.353511,-94.353616,Five Guys,72903,Sebastian County
35.819021,-90.668293,Five Guys,72401,Craighead County
34.755698,-92.418548,Five Guys,72211,Pulaski County
34.795119,-92.231623,Five Guys,72116,Pulaski County
36.311440,-94.178508,Five Guys,72718,Benton County
33.305233,-111.900016,Five Guys,85224,Maricopa County
33.258812,-111.841215,Five Guys,85286,Maricopa County
35.182705,-111.660832,Five Guys,86001,Coconino County
33.306655,-111.749607,Five Guys,85295,Maricopa County
33.463052,-112.357505,Five Guys,85392,Maricopa County
35.224046,-114.036993,Five Guys,86413,Mohave County
32.335505,-111.047420,Five Guys,85741,Pima County
33.392599,-111.683872,Five Guys,85206,Maricopa County
33.380569,-111.754593,Five Guys,85234,Maricopa County
34.236404,-111.322792,Five Guys,85541,Gila County
33.637605,-112.223018,Five Guys,85382,Maricopa County
33.465504,-112.082410,Five Guys,85003,Maricopa County
33.639635,-111.977868,Five Guys,85032,Maricopa County
33.378700,-112.030807,Five Guys,85042,Maricopa County
33.478057,-111.986535,Five Guys,85008,Maricopa County
33.639893,-112.067625,Five Guys,85023,Maricopa County
33.319086,-111.980063,Five Guys,85044,Maricopa County
33.583068,-111.976258,Five Guys,85028,Maricopa County
33.447517,-112.074272,Five Guys,85004,Maricopa County
34.539953,-112.413109,Five Guys,86303,Yavapai County
33.626867,-111.924910,Five Guys,85254,Maricopa County
33.502509,-111.929023,Five Guys,85251,Maricopa County
33.639073,-112.353205,Five Guys,85375,Maricopa County
33.423815,-111.940309,Five Guys,85281,Maricopa County
32.257971,-110.943434,Five Guys,85719,Pima County
32.280878,-110.978469,Five Guys,85705,Pima County
33.423815,-111.940309,Five Guys,85281,Maricopa County
32.221018,-110.873490,Five Guys,85711,Pima County
32.205996,-110.790180,Five Guys,85710,Pima County
32.698496,-114.598803,Five Guys,85364,Yuma County
37.756344,-122.250805,Five Guys,94501,Alameda County
37.850036,-122.033804,Five Guys,94595,Contra Costa County
35.120600,-120.602630,Five Guys,93433,San Luis Obispo County
34.128459,-117.890051,Five Guys,91722,Los Angeles County
35.383890,-119.111730,Five Guys,93312,Kern County
35.383890,-119.111730,Five Guys,93312,Kern County
35.340140,-119.103210,Five Guys,93309,Kern County
37.520052,-122.275861,Five Guys,94070,San Mateo County
33.917946,-117.904189,Five Guys,92821,Orange County
37.961995,-121.729638,Five Guys,94531,Contra Costa County
34.183479,-118.312248,Five Guys,91502,Los Angeles County
37.576844,-122.347250,Five Guys,94010,San Mateo County
33.927417,-116.814532,Five Guys,92220,Riverside County
36.975979,-121.966133,Five Guys,95010,Santa Cruz County
33.129201,-117.267995,Five Guys,92010,San Diego County
33.842171,-118.262666,Five Guys,90745,Los Angeles County
33.859009,-118.089482,Five Guys,90701,Los Angeles County
32.629080,-117.088669,Five Guys,91910,San Diego County
33.994614,-117.931249,Five Guys,91748,Los Angeles County
36.837353,-119.682454,Five Guys,93611,Fresno County
37.950784,-121.957976,Five Guys,94521,Contra Costa County
33.823462,-117.515422,Five Guys,92881,Riverside County
33.682493,-117.917975,Five Guys,92626,Orange County
33.984648,-118.395050,Five Guys,90230,Los Angeles County
33.802972,-118.013497,Five Guys,90680,Orange County
33.887070,-118.319000,Five Guys,90506,Los Angeles County
37.703914,-121.885077,Five Guys,94588,Alameda County
32.807525,-116.965120,Five Guys,92020,San Diego County
32.807554,-116.965312,Five Guys,92020,San Diego County
33.921374,-118.395820,Five Guys,90245,Los Angeles County
38.421801,-121.398524,Five Guys,95758,Sacramento County
33.047382,-117.260301,Five Guys,92024,San Diego County
33.112278,-117.102906,Five Guys,92025,San Diego County
38.262425,-122.057876,Five Guys,94533,Solano County
38.655490,-121.123360,Five Guys,95630,Sacramento County
34.061945,-117.436309,Five Guys,92337,San Bernardino County
34.150881,-117.475564,Five Guys,92336,San Bernardino County
37.555937,-122.275195,Five Guys,94404,San Mateo County
37.505383,-121.969424,Five Guys,94538,Alameda County
36.849588,-119.788154,Five Guys,93650,Fresno County
36.812295,-119.735756,Five Guys,93612,Fresno County
36.807960,-119.775650,Five Guys,93710,Fresno County
36.802082,-119.878487,Five Guys,93722,Fresno County
33.873646,-117.889382,Five Guys,92831,Orange County
34.146591,-118.259270,Five Guys,91210,Los Angeles County
36.327943,-119.672500,Five Guys,93202,Kings County
37.667494,-122.119563,Five Guys,94541,Alameda County
34.426181,-117.385734,Five Guys,92344,San Bernardino County
33.691794,-117.989285,Five Guys,92648,Orange County
32.583826,-117.116063,Five Guys,91932,San Diego County
33.930855,-118.326121,Five Guys,90303,Los Angeles County
33.973637,-117.543929,Five Guys,91752,Riverside County
33.974800,-117.545610,Five Guys,91752,Riverside County
33.710418,-116.290067,Five Guys,92210,Riverside County
33.493612,-117.697290,Five Guys,92629,Orange County
33.853831,-118.139309,Five Guys,90712,Los Angeles County
38.100588,-121.266378,Five Guys,95212,San Joaquin County
33.754789,-118.108141,Five Guys,90740,Orange County
34.026909,-118.275768,Five Guys,90007,Los Angeles County
34.062142,-118.350141,Five Guys,90036,Los Angeles County
34.048899,-118.260431,Five Guys,90017,Los Angeles County
37.786304,-121.253902,Five Guys,95336,San Joaquin County
33.685078,-117.179402,Five Guys,92584,Riverside County
37.331459,-120.469005,Five Guys,95348,Merced County
33.607882,-117.689710,Five Guys,92691,Orange County
33.938950,-117.261906,Five Guys,92553,Riverside County
37.151204,-121.656042,Five Guys,95037,Santa Clara County
37.395769,-122.101703,Five Guys,94043,Santa Clara County
33.616478,-117.877228,Five Guys,92662,Orange County
33.900152,-117.562241,Five Guys,92860,Riverside County
34.231130,-118.553193,Five Guys,91324,Los Angeles County
33.810055,-117.836794,Five Guys,92867,Orange County
34.240988,-119.178924,Five Guys,93036,Ventura County
33.816498,-116.491051,Five Guys,92234,Riverside County
34.597729,-118.147079,Five Guys,93551,Los Angeles County
38.245313,-122.627512,Five Guys,94954,Sonoma County
37.994348,-122.285747,Five Guys,94564,Contra Costa County
37.945056,-122.061596,Five Guys,94523,Contra Costa County
32.955953,-117.042049,Five Guys,92128,San Diego County
38.617455,-121.270325,Five Guys,95670,Sacramento County
34.109704,-117.575180,Five Guys,91730,San Bernardino County
33.738595,-116.410448,Five Guys,92260,Riverside County
40.585282,-122.353757,Five Guys,96002,Shasta County
34.070613,-117.209419,Five Guys,92374,San Bernardino County
37.486500,-122.229122,Five Guys,94063,San Mateo County
37.711016,-120.958553,Five Guys,95367,Stanislaus County
38.742440,-121.226666,Five Guys,95661,Placer County
38.658555,-121.511987,Five Guys,95835,Sacramento County
36.712684,-121.654363,Five Guys,93906,Monterey County
34.065828,-117.273653,Five Guys,92408,San Bernardino County
37.635763,-122.418845,Five Guys,94066,San Mateo County
32.797763,-117.251399,Five Guys,92109,San Diego County
32.690832,-117.128000,Five Guys,92113,San Diego County
32.736511,-117.216530,Five Guys,92106,San Diego County
32.820488,-117.178909,Five Guys,92117,San Diego County
32.748687,-117.158806,Five Guys,92103,San Diego County
32.869018,-117.215002,Five Guys,92122,San Diego County
32.702872,-117.195248,Five Guys,92101,San Diego County
34.113895,-117.827562,Five Guys,91773,Los Angeles County
37.383551,-121.896843,Five Guys,95131,Santa Clara County
37.331520,-121.912651,Five Guys,95110,Santa Clara County
37.302061,-121.865211,Five Guys,95125,Santa Clara County
37.262200,-121.931820,Five Guys,95124,Santa Clara County
37.416107,-121.954943,Five Guys,95134,Santa Clara County
37.292750,-121.992410,Five Guys,95130,Santa Clara County
37.292727,-121.992631,Five Guys,95130,Santa Clara County
37.251768,-121.877804,Five Guys,95118,Santa Clara County
37.249795,-121.803864,Five Guys,95119,Santa Clara County
35.294059,-120.672487,Five Guys,93405,San Luis Obispo County
33.140246,-117.190431,Five Guys,92078,San Diego County
36.619479,-121.844378,Five Guys,93955,Monterey County
36.971909,-122.025894,Five Guys,95062,Santa Cruz County
38.462373,-122.716783,Five Guys,95405,Sonoma County
34.283769,-118.717189,Five Guys,93063,Ventura County
37.643560,-122.452715,Five Guys,94066,San Mateo County
38.001018,-121.318396,Five Guys,95207,San Joaquin County
34.144841,-118.414551,Five Guys,91423,Los Angeles County
37.366676,-122.032121,Five Guys,94086,Santa Clara County
33.481027,-117.096900,Five Guys,92591,Riverside County
33.529900,-117.151423,Five Guys,92591,Riverside County
34.185064,-118.875699,Five Guys,91360,Ventura County
33.815018,-118.350994,Five Guys,90505,Los Angeles County
37.753931,-121.469991,Five Guys,95376,San Joaquin County
33.697400,-117.828653,Five Guys,92606,Orange County
34.232986,-116.062982,Five Guys,92278,San Bernardino County
38.368709,-121.961267,Five Guys,95688,Solano County
34.415658,-118.557627,Five Guys,91355,Los Angeles County
36.293095,-119.314911,Five Guys,93277,Tulare County
33.201080,-117.244425,Five Guys,92083,San Diego County
34.069948,-117.927896,Five Guys,91790,Los Angeles County
34.087213,-118.381231,Five Guys,90069,Los Angeles County
38.590498,-121.550326,Five Guys,95605,Yolo County
33.940549,-118.046257,Five Guys,90670,Los Angeles County
39.674324,-104.870289,Five Guys,80231,Denver County
39.600175,-104.708892,Five Guys,80016,Arapahoe County
39.709320,-104.814583,Five Guys,80012,Arapahoe County
39.594468,-104.806405,Five Guys,80015,Arapahoe County
40.019337,-105.256526,Five Guys,80305,Boulder County
39.914736,-105.044024,Five Guys,80234,Adams County
39.928261,-105.132698,Five Guys,80021,Jefferson County
39.412191,-104.861637,Five Guys,80108,Douglas County
38.880936,-104.716925,Five Guys,80922,El Paso County
38.937978,-104.799165,Five Guys,80920,El Paso County
39.679710,-104.941070,Five Guys,80222,Denver County
