latitude,longitude,name,zipcode,county
36.393456,-78.996918,Jack in the Box,27573,Person County
34.973568,-80.511406,Jack in the Box,28112,Union County
35.015190,-80.571159,Jack in the Box,28079,Union County
35.366177,-80.711800,Jack in the Box,28027,Cabarrus County
35.323315,-80.732277,Jack in the Box,28262,Mecklenburg County
35.341965,-80.767265,Jack in the Box,28269,Mecklenburg County
35.333160,-80.793449,Jack in the Box,28269,Mecklenburg County
35.175785,-80.797997,Jack in the Box,28211,Mecklenburg County
35.347656,-80.843689,Jack in the Box,28269,Mecklenburg County
35.087532,-80.851051,Jack in the Box,28226,Mecklenburg County
35.196453,-80.851295,Jack in the Box,28203,Mecklenburg County
35.306370,-80.851540,Jack in the Box,28216,Mecklenburg County
35.790600,-80.854652,Jack in the Box,28677,Iredell County
35.593227,-80.854935,Jack in the Box,28117,Iredell County
35.815842,-80.876434,Jack in the Box,28625,Iredell County
35.266609,-80.881409,Jack in the Box,28208,Mecklenburg County
35.216259,-80.883583,Jack in the Box,28203,Mecklenburg County
35.137424,-80.903671,Jack in the Box,28273,Mecklenburg County
35.112434,-80.919067,Jack in the Box,28273,Mecklenburg County
35.118404,-80.955826,Jack in the Box,28273,Mecklenburg County
34.940323,-80.979759,Jack in the Box,29730,York County
34.974125,-80.986214,Jack in the Box,29715,York County
34.931946,-81.058220,Jack in the Box,29732,York County
35.257858,-81.115089,Jack in the Box,28098,Gaston County
35.315620,-81.189331,Jack in the Box,28034,Gaston County
35.717628,-81.226448,Jack in the Box,28613,Catawba County
35.703472,-81.311195,Jack in the Box,28602,Catawba County
35.740669,-81.366173,Jack in the Box,28637,Burke County
35.918652,-81.524361,Jack in the Box,28638,Caldwell County
35.274776,-81.531738,Jack in the Box,28073,Cleveland County
34.964550,-81.898026,Jack in the Box,29306,Spartanburg County
34.937088,-81.986832,Jack in the Box,29301,Spartanburg County
34.906620,-82.100052,Jack in the Box,29334,Spartanburg County
34.951591,-82.184860,Jack in the Box,29365,Spartanburg County
34.806473,-82.232002,Jack in the Box,29681,Greenville County
34.705799,-82.257698,Jack in the Box,29680,Greenville County
34.753323,-82.265747,Jack in the Box,29681,Greenville County
34.860291,-82.268692,Jack in the Box,29615,Greenville County
