latitude,longitude,name,zipcode,county
33.249354,-86.815040,Jimmy John's,35007,Shelby County
32.607342,-85.481567,Jimmy John's,36832,Lee County
33.500064,-86.797341,Jimmy John's,35233,Jefferson County
33.511703,-86.788444,Jimmy John's,35233,Jefferson County
33.517102,-86.807343,Jimmy John's,35203,Jefferson County
33.520679,-86.811760,Jimmy John's,35203,Jefferson County
33.425074,-86.703296,Jimmy John's,35242,Shelby County
34.179450,-86.846060,Jimmy John's,35058,Cullman County
34.564282,-86.973444,Jimmy John's,35601,Morgan County
31.236881,-85.459053,Jimmy John's,36305,Houston County
31.323833,-85.827324,Jimmy John's,36330,Coffee County
34.800167,-87.676331,Jimmy John's,35630,Lauderdale County
34.008953,-85.986002,Jimmy John's,35901,Etowah County
33.368786,-86.799690,Jimmy John's,35244,Jefferson County
33.356377,-86.854576,Jimmy John's,35244,Jefferson County
34.730821,-86.585254,Jimmy John's,35801,Madison County
34.675933,-86.541580,Jimmy John's,35802,Madison County
34.690891,-86.577628,Jimmy John's,35801,Madison County
34.754820,-86.736747,Jimmy John's,35757,Madison County
30.690947,-88.040833,Jimmy John's,36603,Mobile County
30.686388,-88.207069,Jimmy John's,36609,Mobile County
30.687628,-88.130722,Jimmy John's,36607,Mobile County
32.379677,-86.310799,Jimmy John's,36113,Montgomery County
32.357600,-86.171416,Jimmy John's,36117,Montgomery County
32.358150,-86.282974,Jimmy John's,36106,Montgomery County
33.621380,-86.602737,Jimmy John's,35235,Jefferson County
33.205782,-87.545529,Jimmy John's,35476,Tuscaloosa County
33.211327,-87.555321,Jimmy John's,35476,Tuscaloosa County
33.235821,-87.550607,Jimmy John's,35473,Tuscaloosa County
33.197641,-87.529865,Jimmy John's,35404,Tuscaloosa County
33.139854,-87.545105,Jimmy John's,35405,Tuscaloosa County
33.206338,-87.568399,Jimmy John's,35476,Tuscaloosa County
33.446354,-86.793014,Jimmy John's,35209,Jefferson County
36.335375,-94.204106,Jimmy John's,72718,Benton County
36.363190,-94.218559,Jimmy John's,72719,Benton County
35.091148,-92.430489,Jimmy John's,72032,Faulkner County
35.086407,-92.471693,Jimmy John's,72034,Faulkner County
36.112718,-94.145113,Jimmy John's,72703,Washington County
36.066635,-94.166382,Jimmy John's,72703,Washington County
35.348572,-94.342636,Jimmy John's,72903,Sebastian County
35.385254,-94.422890,Jimmy John's,72901,Sebastian County
34.463310,-93.060387,Jimmy John's,71913,Garland County
35.831216,-90.668606,Jimmy John's,72401,Craighead County
34.754184,-92.410643,Jimmy John's,72211,Pulaski County
34.742672,-92.276680,Jimmy John's,72201,Pulaski County
36.346778,-92.379834,Jimmy John's,72653,Baxter County
34.788750,-92.222473,Jimmy John's,72116,Pulaski County
36.313911,-94.179346,Jimmy John's,72718,Benton County
35.250070,-91.709360,Jimmy John's,72082,White County
36.175430,-94.177757,Jimmy John's,72762,Washington County
33.415395,-111.573458,Jimmy John's,85120,Pinal County
33.464759,-112.277250,Jimmy John's,85037,Maricopa County
33.439425,-112.556520,Jimmy John's,85395,Maricopa County
32.879558,-111.730386,Jimmy John's,85122,Pinal County
33.290725,-111.841569,Jimmy John's,85286,Maricopa County
33.339291,-111.842361,Jimmy John's,85233,Maricopa County
33.280067,-111.795456,Jimmy John's,85225,Maricopa County
33.262621,-111.858741,Jimmy John's,85286,Maricopa County
33.305561,-111.900015,Jimmy John's,85224,Maricopa County
33.316807,-111.971527,Jimmy John's,85044,Maricopa County
35.190456,-111.660500,Jimmy John's,86001,Coconino County
35.198086,-111.649887,Jimmy John's,86001,Coconino County
35.191795,-111.641998,Jimmy John's,86001,Coconino County
33.377441,-111.787499,Jimmy John's,85204,Maricopa County
33.294451,-111.746677,Jimmy John's,85297,Maricopa County
33.653240,-112.185020,Jimmy John's,85308,Maricopa County
33.610785,-112.185185,Jimmy John's,85306,Maricopa County
33.638346,-112.225635,Jimmy John's,85382,Maricopa County
33.459068,-112.393173,Jimmy John's,85395,Maricopa County
33.465359,-112.356461,Jimmy John's,85392,Maricopa County
35.221984,-114.036024,Jimmy John's,86413,Mohave County
34.475548,-114.344162,Jimmy John's,86403,Mohave County
33.377605,-112.165782,Jimmy John's,85041,Maricopa County
33.392643,-111.684082,Jimmy John's,85206,Maricopa County
33.393364,-111.868988,Jimmy John's,85202,Maricopa County
33.467075,-111.682411,Jimmy John's,85215,Maricopa County
33.378895,-111.840264,Jimmy John's,85210,Maricopa County
33.451795,-111.735875,Jimmy John's,85213,Maricopa County
33.321023,-111.686926,Jimmy John's,85296,Maricopa County
33.415672,-111.829330,Jimmy John's,85210,Maricopa County
34.240753,-111.318036,Jimmy John's,85541,Gila County
33.610570,-112.237506,Jimmy John's,85381,Maricopa County
33.711789,-112.271947,Jimmy John's,85373,Maricopa County
33.507767,-112.277336,Jimmy John's,85037,Maricopa County
33.448215,-112.074058,Jimmy John's,85004,Maricopa County
33.509275,-112.046355,Jimmy John's,85014,Maricopa County
33.671326,-112.030281,Jimmy John's,85024,Maricopa County
33.677053,-111.977266,Jimmy John's,85050,Maricopa County
33.666620,-112.120930,Jimmy John's,85027,Maricopa County
33.479381,-111.987146,Jimmy John's,85008,Maricopa County
33.484757,-112.075745,Jimmy John's,85013,Maricopa County
33.640491,-112.010817,Jimmy John's,85032,Maricopa County
33.640420,-112.068387,Jimmy John's,85023,Maricopa County
33.598416,-111.979202,Jimmy John's,85254,Maricopa County
33.404700,-111.978353,Jimmy John's,85034,Maricopa County
33.458946,-112.065643,Jimmy John's,85004,Maricopa County
33.655314,-111.929525,Jimmy John's,85054,Maricopa County
33.539837,-112.046224,Jimmy John's,85020,Maricopa County
34.590480,-112.339540,Jimmy John's,86314,Yavapai County
33.251644,-111.631706,Jimmy John's,85142,Maricopa County
33.183971,-111.590691,Jimmy John's,85142,Maricopa County
33.581041,-111.886871,Jimmy John's,85258,Maricopa County
33.620468,-111.892357,Jimmy John's,85260,Maricopa County
33.626480,-111.924767,Jimmy John's,85254,Maricopa County
33.494246,-111.926184,Jimmy John's,85251,Maricopa County
33.557038,-111.898720,Jimmy John's,85258,Maricopa County
31.553696,-110.275291,Jimmy John's,85613,Cochise County
33.638525,-112.364870,Jimmy John's,85374,Maricopa County
33.429395,-111.900286,Jimmy John's,85281,Maricopa County
33.349334,-111.902010,Jimmy John's,85284,Maricopa County
33.378631,-111.928803,Jimmy John's,85283,Maricopa County
33.425181,-111.934887,Jimmy John's,85281,Maricopa County
33.423475,-111.940104,Jimmy John's,85281,Maricopa County
33.414635,-111.928727,Jimmy John's,85282,Maricopa County
33.349686,-111.949776,Jimmy John's,85283,Maricopa County
33.393349,-111.926796,Jimmy John's,85282,Maricopa County
32.183105,-110.949376,Jimmy John's,85714,Pima County
32.252899,-110.892807,Jimmy John's,85712,Pima County
32.253853,-110.944282,Jimmy John's,85719,Pima County
32.285462,-110.978064,Jimmy John's,85705,Pima County
32.221775,-110.877013,Jimmy John's,85711,Pima County
