latitude,longitude,name,zipcode,county
61.195420,-149.884120,KFC,99503,Anchorage Municipality
61.181610,-149.867950,KFC,99503,Anchorage Municipality
61.142450,-149.847230,KFC,99518,Anchorage Municipality
61.180720,-149.833830,KFC,99503,Anchorage Municipality
61.211380,-149.807910,KFC,99508,Anchorage Municipality
61.223960,-149.733670,KFC,99504,Anchorage Municipality
61.323750,-149.571730,KFC,99505,Anchorage Municipality
64.852490,-147.710300,KFC,99790,Yukon-Koyukuk Census Area
64.836904,-147.802266,KFC,99775,Fairbanks North Star Borough
61.579120,-149.404460,KFC,99654,Matanuska-Susitna Borough
34.276190,-86.205720,KFC,35951,Marshall County
32.921540,-85.942410,KFC,35010,Tallapoosa County
31.275940,-86.518390,KFC,36420,Covington County
33.670440,-85.826920,KFC,36206,Calhoun County
34.326450,-86.502800,KFC,35016,Marshall County
34.789480,-86.967830,KFC,35613,Limestone County
31.009580,-87.493610,KFC,36562,Baldwin County
32.624510,-85.446690,KFC,36801,Lee County
33.405990,-86.961670,KFC,35020,Jefferson County
33.509550,-86.885640,KFC,35208,Jefferson County
33.491950,-86.883500,KFC,35208,Jefferson County
33.542000,-86.832700,KFC,35204,Jefferson County
33.459870,-86.817500,KFC,35209,Jefferson County
33.530740,-86.714320,KFC,35213,Jefferson County
33.629670,-86.685010,KFC,35215,Jefferson County
33.602270,-86.638200,KFC,35235,Jefferson County
34.204550,-86.152440,KFC,35957,Marshall County
34.161868,-85.692803,KFC,35983,Cherokee County
32.945590,-87.143880,KFC,35042,Bibb County
33.348990,-86.624650,KFC,35043,Shelby County
33.283370,-86.361790,KFC,35044,Talladega County
32.804010,-86.591420,KFC,36091,Chilton County
33.179750,-86.611240,KFC,35051,Shelby County
34.206610,-86.871210,KFC,35058,Cullman County
34.158020,-86.834500,KFC,35058,Cullman County
30.627730,-87.909570,KFC,36526,Baldwin County
34.585010,-87.024480,KFC,35601,Morgan County
34.561550,-86.973170,KFC,35601,Morgan County
32.503560,-87.837620,KFC,36740,Greene County
31.236650,-85.459640,KFC,36305,Houston County
31.227660,-85.393780,KFC,36303,Houston County
31.253040,-85.387900,KFC,36303,Houston County
31.192900,-85.379640,KFC,36301,Houston County
31.316630,-85.830520,KFC,36330,Coffee County
31.882410,-85.145730,KFC,36027,Barbour County
31.442230,-86.952940,KFC,36432,Conecuh County
33.467470,-86.916660,KFC,35064,Jefferson County
33.716580,-87.817340,KFC,35542,Fayette County
34.818840,-87.686900,KFC,35630,Lauderdale County
34.832770,-87.629130,KFC,35630,Lauderdale County
30.380120,-87.683460,KFC,36535,Baldwin County
33.560040,-86.891650,KFC,35214,Jefferson County
34.467430,-85.700940,KFC,35967,DeKalb County
34.008030,-85.983870,KFC,35901,Etowah County
33.652240,-86.819670,KFC,35117,Jefferson County
31.045800,-85.892330,KFC,36340,Geneva County
31.847430,-86.626590,KFC,36032,Lowndes County
34.344670,-86.304820,KFC,35976,Marshall County
34.227630,-87.622460,KFC,35565,Winston County
34.141800,-87.986120,KFC,35570,Marion County
34.076103,-86.781459,KFC,35077,Cullman County
34.457530,-86.947330,KFC,35603,Morgan County
33.985770,-85.866730,KFC,35901,Etowah County
33.453796,-87.011296,KFC,35127,Jefferson County
34.735900,-86.627420,KFC,35816,Madison County
34.759200,-86.591360,KFC,35816,Madison County
34.712890,-86.591260,KFC,35801,Madison County
34.656120,-86.569240,KFC,35802,Madison County
34.773140,-86.532810,KFC,35811,Madison County
33.817550,-85.761090,KFC,36277,Calhoun County
33.848920,-87.284530,KFC,35501,Walker County
32.882870,-85.408000,KFC,36862,Chambers County
33.561940,-86.522180,KFC,35094,Jefferson County
33.595415,-86.121977,KFC,35096,Talladega County
34.676550,-86.752530,KFC,35758,Madison County
34.753500,-86.744320,KFC,35757,Madison County
33.245930,-87.137000,KFC,35111,Tuscaloosa County
34.867700,-86.571080,KFC,35759,Madison County
32.517774,-86.373859,KFC,36054,Elmore County
30.592698,-88.168837,KFC,36619,Mobile County
30.720440,-88.160690,KFC,36618,Mobile County
30.698620,-88.108060,KFC,36607,Mobile County
30.719110,-88.084220,KFC,36617,Mobile County
30.673989,-88.225244,KFC,36609,Mobile County
31.515930,-87.321950,KFC,36460,Monroe County
33.101940,-86.860310,KFC,35115,Shelby County
32.326150,-86.327030,KFC,36111,Montgomery County
32.380500,-86.275610,KFC,36107,Montgomery County
32.327220,-86.271560,KFC,36111,Montgomery County
32.419180,-86.268800,KFC,36115,Montgomery County
32.364220,-86.268680,KFC,36106,Montgomery County
32.347910,-86.222520,KFC,36106,Montgomery County
32.382220,-86.179130,KFC,36117,Montgomery County
34.487630,-87.276110,KFC,35650,Lawrence County
34.759210,-87.624560,KFC,35660,Colbert County
33.238250,-87.576810,KFC,35473,Tuscaloosa County
33.953780,-86.467130,KFC,35121,Blount County
32.651020,-85.377980,KFC,36801,Lee County
34.656840,-86.482310,KFC,35763,Madison County
33.614660,-85.794040,KFC,36203,Calhoun County
31.445790,-85.655320,KFC,36362,Dale County
33.267490,-86.810080,KFC,35007,Shelby County
33.335230,-86.782523,KFC,35124,Shelby County
33.595411,-86.283191,KFC,35125,St. Clair County
32.485480,-85.024350,KFC,36867,Russell County
32.470840,-85.000900,KFC,31901,Muscogee County
33.933779,-85.610531,KFC,36272,Calhoun County
32.459850,-86.411220,KFC,36066,Autauga County
34.508580,-87.717510,KFC,35654,Franklin County
30.803169,-88.072282,KFC,36571,Mobile County
34.650217,-86.029735,KFC,35769,Jackson County
32.431830,-87.040540,KFC,36701,Dallas County
33.929560,-86.024050,KFC,35907,Etowah County
33.184220,-86.246110,KFC,35150,Talladega County
33.437790,-86.082480,KFC,35160,Talladega County
31.990870,-87.758510,KFC,36784,Clarke County
31.793770,-85.977980,KFC,36079,Pike County
33.203260,-87.568570,KFC,35476,Tuscaloosa County
33.168050,-87.520860,KFC,35404,Tuscaloosa County
33.207340,-87.504380,KFC,35404,Tuscaloosa County
32.422420,-85.692830,KFC,36088,Macon County
32.843770,-85.180580,KFC,31833,Troup County
32.517910,-86.211150,KFC,36110,Montgomery County
35.491114,-94.226487,KFC,72921,Crawford County
34.120480,-93.056690,KFC,71923,Clark County
35.253830,-92.937510,KFC,72823,Pope County
35.790970,-91.638020,KFC,72501,Independence County
35.068380,-91.907190,KFC,72012,White County
34.569370,-92.585260,KFC,72015,Saline County
36.381679,-94.221603,KFC,72719,Benton County
35.935020,-89.910140,KFC,72315,Mississippi County
35.140845,-93.912057,KFC,72927,Logan County
34.898492,-91.194391,KFC,72021,Monroe County
34.622530,-92.498360,KFC,72022,Saline County
34.976010,-92.025050,KFC,72007,Lonoke County
33.573906,-92.854143,KFC,71701,Ouachita County
35.452500,-93.465400,KFC,72830,Johnson County
35.576090,-92.451820,KFC,72013,Van Buren County
35.111970,-92.448780,KFC,72032,Faulkner County
33.135480,-91.959540,KFC,71635,Ashley County
34.045650,-94.327800,KFC,71832,Sevier County
33.207560,-92.668250,KFC,71730,Union County
36.056610,-94.187070,KFC,72730,Washington County
36.106167,-94.146232,KFC,72703,Washington County
35.043830,-90.791960,KFC,72335,St. Francis County
35.336633,-94.422501,KFC,74901,Le Flore County
35.385730,-94.385310,KFC,72904,Sebastian County
35.351520,-94.347740,KFC,72903,Sebastian County
35.216872,-94.269699,KFC,72936,Sebastian County
36.288890,-91.506880,KFC,72542,Sharp County
35.510624,-92.029386,KFC,72581,Cleburne County
33.683230,-93.594470,KFC,71835,Nevada County
34.455510,-93.063870,KFC,71913,Garland County
34.656177,-93.057398,KFC,71909,Garland County
34.492030,-93.085770,KFC,71913,Garland County
34.503170,-93.049260,KFC,71913,Garland County
34.882420,-92.108730,KFC,72076,Pulaski County
35.823650,-90.741170,KFC,72404,Craighead County
35.820480,-90.706350,KFC,72404,Craighead County
35.820350,-90.677710,KFC,72404,Craighead County
34.754290,-92.404070,KFC,72211,Pulaski County
34.757950,-92.376980,KFC,72227,Pulaski County
34.718050,-92.347560,KFC,72204,Pulaski County
34.675220,-92.344140,KFC,72209,Pulaski County
34.751750,-92.322080,KFC,72205,Pulaski County
34.740420,-92.314770,KFC,72202,Pulaski County
34.724520,-92.278980,KFC,72201,Pulaski County
34.797990,-91.891270,KFC,72086,Lonoke County
36.241326,-94.137055,KFC,72745,Benton County
33.285900,-93.235310,KFC,71753,Columbia County
34.371060,-92.820750,KFC,72104,Hot Spring County
34.779640,-90.773510,KFC,72360,Lee County
35.209450,-90.206116,KFC,72364,Crittenden County
34.883550,-92.386630,KFC,72113,Pulaski County
34.586060,-94.226490,KFC,71953,Polk County
33.630622,-91.802258,KFC,71655,Drew County
35.169880,-92.719680,KFC,72110,Conway County
36.391840,-92.356060,KFC,72623,Baxter County
