latitude,longitude,name,zipcode,county
61.231089,-149.741060,Panda Express,99504,Anchorage Municipality
61.194770,-149.917940,Panda Express,99503,Anchorage Municipality
61.578541,-149.412476,Panda Express,99654,Matanuska-Susitna Borough
33.225359,-86.802934,Panda Express,35007,Shelby County
32.605047,-85.485147,Panda Express,36832,Lee County
34.206494,-86.867093,Panda Express,35058,Cullman County
31.334111,-85.859154,Panda Express,36330,Coffee County
30.382612,-87.683413,Panda Express,36535,Baldwin County
34.008996,-85.986417,Panda Express,35901,Etowah County
34.743313,-86.674882,Panda Express,35806,Madison County
34.747854,-86.773356,Panda Express,35757,Madison County
30.675253,-88.141144,Panda Express,36609,Mobile County
33.607664,-85.787123,Panda Express,36203,Calhoun County
32.460173,-86.414898,Panda Express,36066,Autauga County
33.197590,-87.527710,Panda Express,35404,Tuscaloosa County
33.215099,-87.546356,Panda Express,35476,Tuscaloosa County
36.369545,-94.220665,Panda Express,72719,Benton County
36.055316,-94.189894,Panda Express,72730,Washington County
34.468708,-93.069290,Panda Express,71913,Garland County
36.297180,-94.121407,Panda Express,72758,Benton County
35.248482,-91.728950,Panda Express,72082,White County
36.181534,-94.513519,Panda Express,72761,Benton County
36.195126,-94.181930,Panda Express,72762,Washington County
33.464841,-112.277602,Panda Express,85037,Maricopa County
33.449595,-112.307085,Panda Express,85323,Maricopa County
33.436873,-112.556435,Panda Express,85395,Maricopa County
35.082660,-114.596871,Panda Express,86442,Mohave County
35.169171,-114.565900,Panda Express,86429,Mohave County
32.879468,-111.711995,Panda Express,85122,Pinal County
33.291809,-111.823847,Panda Express,85225,Maricopa County
33.291780,-111.945744,Panda Express,85284,Maricopa County
33.320281,-111.891613,Panda Express,85224,Maricopa County
33.305578,-111.896525,Panda Express,85224,Maricopa County
33.246765,-111.841434,Panda Express,85286,Maricopa County
33.225281,-111.798001,Panda Express,85249,Maricopa County
34.721403,-112.001291,Panda Express,86326,Yavapai County
35.188866,-111.662479,Panda Express,86001,Coconino County
33.304936,-111.743762,Panda Express,85295,Maricopa County
33.281258,-111.789583,Panda Express,85297,Maricopa County
33.336054,-111.790196,Panda Express,85233,Maricopa County
33.666647,-112.186881,Panda Express,85308,Maricopa County
33.523779,-112.151923,Panda Express,85019,Maricopa County
33.639759,-112.224781,Panda Express,85382,Maricopa County
33.568835,-112.186111,Panda Express,85302,Maricopa County
33.508680,-112.264549,Panda Express,85305,Maricopa County
33.463395,-112.341217,Panda Express,85392,Maricopa County
33.453978,-112.392755,Panda Express,85395,Maricopa County
33.349771,-111.721175,Panda Express,85296,Maricopa County
35.221280,-114.035726,Panda Express,86413,Mohave County
34.479770,-114.347856,Panda Express,86403,Mohave County
33.313824,-112.161366,Panda Express,85339,Maricopa County
33.508353,-112.357431,Panda Express,85340,Maricopa County
33.069963,-112.045763,Panda Express,85121,Pinal County
33.393456,-111.805103,Panda Express,85204,Maricopa County
33.377879,-111.640845,Panda Express,85209,Maricopa County
33.422759,-111.789565,Panda Express,85204,Maricopa County
33.380736,-111.687645,Panda Express,85206,Maricopa County
33.452296,-111.683873,Panda Express,85205,Maricopa County
33.387278,-111.861147,Panda Express,85202,Maricopa County
33.378986,-111.839699,Panda Express,85210,Maricopa County
33.379302,-111.757209,Panda Express,85234,Maricopa County
33.451707,-111.735177,Panda Express,85213,Maricopa County
33.393755,-111.690064,Panda Express,85206,Maricopa County
33.378989,-111.637745,Panda Express,85209,Maricopa County
33.433109,-111.871090,Panda Express,85201,Maricopa County
31.366596,-110.938275,Panda Express,85621,Santa Cruz County
32.349117,-110.975348,Panda Express,85704,Pima County
33.672787,-112.238220,Panda Express,85382,Maricopa County
33.638006,-112.216954,Panda Express,85382,Maricopa County
33.595707,-112.221069,Panda Express,85381,Maricopa County
33.532100,-112.256663,Panda Express,85305,Maricopa County
33.710620,-112.269353,Panda Express,85373,Maricopa County
33.583392,-111.977653,Panda Express,85028,Maricopa County
33.677189,-111.977184,Panda Express,85050,Maricopa County
33.655082,-112.031170,Panda Express,85032,Maricopa County
33.377966,-112.029440,Panda Express,85042,Maricopa County
33.712779,-112.112398,Panda Express,85027,Maricopa County
33.667970,-112.123345,Panda Express,85027,Maricopa County
33.437431,-112.028084,Panda Express,85034,Maricopa County
33.498869,-111.986703,Panda Express,85018,Maricopa County
33.611853,-111.996666,Panda Express,85032,Maricopa County
33.452597,-112.069819,Panda Express,85004,Maricopa County
33.305112,-111.996392,Panda Express,85048,Maricopa County
33.625350,-112.003348,Panda Express,85032,Maricopa County
33.407320,-111.978279,Panda Express,85034,Maricopa County
33.377670,-112.166163,Panda Express,85041,Maricopa County
33.494975,-112.171839,Panda Express,85031,Maricopa County
33.538610,-112.047653,Panda Express,85014,Maricopa County
33.676240,-111.960075,Panda Express,85054,Maricopa County
33.480318,-112.220970,Panda Express,85033,Maricopa County
33.423091,-112.224303,Panda Express,85043,Maricopa County
33.640141,-112.061053,Panda Express,85022,Maricopa County
33.494708,-112.060743,Panda Express,85014,Maricopa County
33.509472,-112.129951,Panda Express,85017,Maricopa County
34.545783,-112.467531,Panda Express,86303,Yavapai County
34.588006,-112.339635,Panda Express,86314,Yavapai County
33.248749,-111.626882,Panda Express,85142,Maricopa County
33.234200,-111.649612,Panda Express,85142,Maricopa County
33.149652,-111.552793,Panda Express,85142,Maricopa County
