latitude,longitude,name,zipcode,county
61.193970,-149.882510,Pizza Hut,99503,Anchorage Municipality
61.216310,-149.882770,Pizza Hut,99513,Anchorage Municipality
61.104930,-149.859210,Pizza Hut,99515,Anchorage Municipality
61.138630,-149.914670,Pizza Hut,99518,Anchorage Municipality
61.180980,-149.840000,Pizza Hut,99503,Anchorage Municipality
61.220750,-149.778240,Pizza Hut,99508,Anchorage Municipality
61.186590,-149.914230,Pizza Hut,99503,Anchorage Municipality
61.326656,-149.571399,Pizza Hut,99567,Anchorage Municipality
64.836304,-147.761292,Pizza Hut,99790,Yukon-Koyukuk Census Area
64.853373,-147.714180,Pizza Hut,99790,Yukon-Koyukuk Census Area
60.560960,-151.222900,Pizza Hut,99669,Kenai Peninsula Borough
64.756914,-147.353642,Pizza Hut,99705,Fairbanks North Star Borough
60.484360,-151.068989,Pizza Hut,99669,Kenai Peninsula Borough
61.580410,-149.427920,Pizza Hut,99654,Matanuska-Susitna Borough
33.260940,-86.812340,Pizza Hut,35007,Shelby County
34.272880,-86.198970,Pizza Hut,35951,Marshall County
32.919550,-85.956110,Pizza Hut,35010,Tallapoosa County
31.318790,-86.460890,Pizza Hut,36421,Covington County
33.686410,-85.823830,Pizza Hut,36206,Calhoun County
34.333170,-86.502840,Pizza Hut,35016,Marshall County
34.798240,-86.953470,Pizza Hut,35613,Limestone County
34.755582,-86.885008,Pizza Hut,35613,Limestone County
31.002262,-87.491361,Pizza Hut,36562,Baldwin County
34.018120,-86.076860,Pizza Hut,35906,Etowah County
32.569948,-85.499288,Pizza Hut,36832,Lee County
30.883870,-87.787460,Pizza Hut,36507,Baldwin County
30.399240,-88.247170,Pizza Hut,36509,Mobile County
33.337590,-86.919650,Pizza Hut,35020,Jefferson County
33.393780,-86.968800,Pizza Hut,35020,Jefferson County
33.473950,-86.826340,Pizza Hut,35209,Jefferson County
33.647250,-86.683990,Pizza Hut,35215,Jefferson County
33.460080,-86.732130,Pizza Hut,35243,Jefferson County
33.535500,-86.703790,Pizza Hut,35210,Jefferson County
33.422260,-86.698550,Pizza Hut,35242,Shelby County
33.529000,-86.722460,Pizza Hut,35213,Jefferson County
33.480751,-86.849358,Pizza Hut,35208,Jefferson County
33.586744,-86.701256,Pizza Hut,35206,Jefferson County
34.213530,-86.155940,Pizza Hut,35957,Marshall County
32.908857,-87.198332,Pizza Hut,35042,Bibb County
31.097774,-87.081486,Pizza Hut,36426,Escambia County
33.117173,-86.751833,Pizza Hut,35040,Shelby County
34.158010,-85.703000,Pizza Hut,35983,Cherokee County
33.335435,-86.585460,Pizza Hut,35043,Shelby County
