latitude,longitude,name,zipcode,county
34.281758,-86.221189,Sonic Drive-In,35951,Marshall County
32.943563,-85.956107,Sonic Drive-In,35010,Tallapoosa County
33.764880,-85.892721,Sonic Drive-In,36250,Calhoun County
31.308188,-86.478617,Sonic Drive-In,36421,Covington County
33.629493,-85.805042,Sonic Drive-In,36201,Calhoun County
33.725686,-85.815419,Sonic Drive-In,36206,Calhoun County
33.653718,-85.829884,Sonic Drive-In,36201,Calhoun County
34.321436,-86.496090,Sonic Drive-In,35016,Marshall County
34.786721,-86.959682,Sonic Drive-In,35613,Limestone County
31.106066,-87.475555,Sonic Drive-In,36502,Escambia County
34.020264,-86.090386,Sonic Drive-In,35906,Etowah County
32.570613,-85.499920,Sonic Drive-In,36832,Lee County
32.610975,-85.464669,Sonic Drive-In,36832,Lee County
30.879312,-87.784546,Sonic Drive-In,36507,Baldwin County
33.360618,-86.998854,Sonic Drive-In,35020,Jefferson County
33.522517,-86.728747,Sonic Drive-In,35213,Jefferson County
33.580658,-86.920551,Sonic Drive-In,35214,Jefferson County
33.471781,-86.821932,Sonic Drive-In,35209,Jefferson County
33.604792,-86.690229,Sonic Drive-In,35235,Jefferson County
34.213070,-86.155760,Sonic Drive-In,35957,Marshall County
34.158938,-85.708099,Sonic Drive-In,35983,Cherokee County
33.349868,-86.622426,Sonic Drive-In,35043,Shelby County
32.849873,-86.633923,Sonic Drive-In,35046,Chilton County
34.156471,-86.834662,Sonic Drive-In,35058,Cullman County
30.601661,-87.898414,Sonic Drive-In,36526,Baldwin County
34.587145,-86.997054,Sonic Drive-In,35601,Morgan County
34.573321,-87.011642,Sonic Drive-In,35601,Morgan County
32.503815,-87.833699,Sonic Drive-In,36740,Greene County
31.217707,-85.360725,Sonic Drive-In,36321,Houston County
31.178004,-85.401608,Sonic Drive-In,36301,Houston County
31.234377,-85.454911,Sonic Drive-In,36305,Houston County
31.264553,-85.440939,Sonic Drive-In,36303,Houston County
31.323842,-85.831299,Sonic Drive-In,36330,Coffee County
31.874922,-85.152096,Sonic Drive-In,36027,Barbour County
33.472279,-86.922369,Sonic Drive-In,35064,Jefferson County
30.516890,-87.885994,Sonic Drive-In,36532,Baldwin County
33.686753,-87.832574,Sonic Drive-In,35555,Fayette County
34.840440,-87.670989,Sonic Drive-In,35630,Lauderdale County
34.830698,-87.624966,Sonic Drive-In,35630,Lauderdale County
30.380853,-87.683067,Sonic Drive-In,36535,Baldwin County
34.437694,-85.725496,Sonic Drive-In,35967,DeKalb County
34.009962,-85.988478,Sonic Drive-In,35901,Etowah County
31.847788,-86.646057,Sonic Drive-In,36033,Butler County
34.138401,-87.989643,Sonic Drive-In,35570,Marion County
34.659855,-86.484763,Sonic Drive-In,35763,Madison County
34.445832,-86.943483,Sonic Drive-In,35640,Morgan County
34.927838,-86.572015,Sonic Drive-In,35750,Madison County
33.985756,-85.869009,Sonic Drive-In,35901,Etowah County
33.450792,-86.980846,Sonic Drive-In,35061,Jefferson County
34.616672,-86.567397,Sonic Drive-In,35803,Madison County
34.763022,-86.592905,Sonic Drive-In,35810,Madison County
34.711675,-86.610285,Sonic Drive-In,35805,Madison County
34.799871,-86.536103,Sonic Drive-In,35811,Madison County
34.669177,-86.539378,Sonic Drive-In,35802,Madison County
34.733529,-86.627486,Sonic Drive-In,35816,Madison County
31.526703,-87.893362,Sonic Drive-In,36545,Clarke County
33.801335,-85.761114,Sonic Drive-In,36277,Calhoun County
33.842741,-87.242796,Sonic Drive-In,35501,Walker County
32.854282,-85.191531,Sonic Drive-In,31833,Troup County
33.545817,-86.547095,Sonic Drive-In,35094,Jefferson County
32.602015,-88.182884,Sonic Drive-In,35460,Sumter County
34.708149,-86.786595,Sonic Drive-In,35756,Limestone County
34.678634,-86.751731,Sonic Drive-In,35758,Madison County
34.753000,-86.744581,Sonic Drive-In,35757,Madison County
32.492929,-86.369126,Sonic Drive-In,36054,Elmore County
30.692342,-88.071038,Sonic Drive-In,36604,Mobile County
30.640121,-88.137693,Sonic Drive-In,36693,Mobile County
30.640282,-88.191819,Sonic Drive-In,36609,Mobile County
30.672081,-88.133949,Sonic Drive-In,36609,Mobile County
31.482197,-87.330834,Sonic Drive-In,36460,Monroe County
32.417748,-86.269184,Sonic Drive-In,36115,Montgomery County
32.358361,-86.282482,Sonic Drive-In,36106,Montgomery County
32.382328,-86.200605,Sonic Drive-In,36109,Montgomery County
32.360364,-86.167374,Sonic Drive-In,36117,Montgomery County
34.494255,-87.279801,Sonic Drive-In,35650,Lawrence County
34.744689,-87.667180,Sonic Drive-In,35660,Colbert County
33.236442,-87.576869,Sonic Drive-In,35476,Tuscaloosa County
33.236615,-87.554520,Sonic Drive-In,35473,Tuscaloosa County
33.961719,-86.460832,Sonic Drive-In,35121,Blount County
32.622538,-85.407195,Sonic Drive-In,36801,Lee County
33.607204,-85.838130,Sonic Drive-In,36203,Calhoun County
31.439749,-85.644011,Sonic Drive-In,36362,Dale County
33.334712,-86.791876,Sonic Drive-In,35124,Shelby County
33.267328,-86.809619,Sonic Drive-In,35007,Shelby County
33.574905,-86.272813,Sonic Drive-In,35125,St. Clair County
32.495177,-85.013931,Sonic Drive-In,36867,Russell County
32.460669,-86.420640,Sonic Drive-In,36066,Autauga County
33.961557,-86.032323,Sonic Drive-In,35906,Etowah County
34.492450,-85.844377,Sonic Drive-In,35986,DeKalb County
30.543351,-87.708214,Sonic Drive-In,36580,Baldwin County
34.494423,-87.725865,Sonic Drive-In,35581,Franklin County
30.807318,-88.071802,Sonic Drive-In,36571,Mobile County
34.665223,-86.035102,Sonic Drive-In,35769,Jackson County
32.431729,-87.024555,Sonic Drive-In,36701,Dallas County
30.763258,-88.226698,Sonic Drive-In,36575,Mobile County
30.674643,-87.852464,Sonic Drive-In,36527,Baldwin County
33.741424,-87.037033,Sonic Drive-In,35148,Walker County
33.167483,-86.258070,Sonic Drive-In,35150,Talladega County
33.436521,-86.090017,Sonic Drive-In,35160,Talladega County
31.932690,-87.738108,Sonic Drive-In,36784,Clarke County
31.887710,-86.007749,Sonic Drive-In,36036,Montgomery County
33.618811,-86.611548,Sonic Drive-In,35235,Jefferson County
33.200679,-87.576619,Sonic Drive-In,35476,Tuscaloosa County
33.167297,-87.525215,Sonic Drive-In,35404,Tuscaloosa County
33.751886,-88.109913,Sonic Drive-In,35586,Lamar County
33.938283,-87.841214,Sonic Drive-In,35594,Marion County
35.485269,-94.225885,Sonic Drive-In,72921,Crawford County
34.124203,-93.057163,Sonic Drive-In,71923,Clark County
36.238875,-91.595442,Sonic Drive-In,72513,Sharp County
33.661850,-94.119172,Sonic Drive-In,71822,Little River County
35.254133,-92.937581,Sonic Drive-In,72823,Pope County
35.323064,-91.561324,Sonic Drive-In,72010,White County
35.325932,-94.302649,Sonic Drive-In,72923,Sebastian County
35.765257,-91.619641,Sonic Drive-In,72501,Independence County
35.769776,-91.649979,Sonic Drive-In,72501,Independence County
35.787033,-91.641970,Sonic Drive-In,72501,Independence County
35.074215,-91.900893,Sonic Drive-In,72012,White County
36.440350,-94.237472,Sonic Drive-In,72714,Benton County
36.196118,-93.040022,Sonic Drive-In,72601,Boone County
34.580403,-92.573265,Sonic Drive-In,72022,Saline County
34.610670,-92.535713,Sonic Drive-In,72022,Saline County
36.371303,-94.221740,Sonic Drive-In,72719,Benton County
36.356330,-94.183159,Sonic Drive-In,72719,Benton County
36.368592,-93.578565,Sonic Drive-In,72616,Carroll County
35.958570,-89.965599,Sonic Drive-In,72315,Mississippi County
35.927466,-89.887085,Sonic Drive-In,72315,Mississippi County
35.933600,-89.910121,Sonic Drive-In,72315,Mississippi County
35.901079,-90.797528,Sonic Drive-In,72416,Craighead County
35.141812,-93.902573,Sonic Drive-In,72927,Logan County
34.898410,-91.194518,Sonic Drive-In,72021,Monroe County
35.907546,-90.588060,Sonic Drive-In,72401,Craighead County
34.612660,-92.497350,Sonic Drive-In,72022,Saline County
35.002835,-92.071029,Sonic Drive-In,72023,Lonoke County
