latitude,longitude,name,zipcode,county
22.064027,-159.772976,Subway,96741,Kauai County
21.955524,-159.669069,Subway,96741,Kauai County
21.902768,-159.586072,Subway,96756,Kauai County
21.925522,-159.528164,Subway,96756,Kauai County
22.203001,-159.496710,Subway,96722,Kauai County
21.904828,-159.463792,Subway,96756,Kauai County
22.207272,-159.411420,Subway,96754,Kauai County
21.978196,-159.368225,Subway,96756,Kauai County
22.061800,-159.320733,Subway,96746,Kauai County
21.435390,-158.184650,Subway,96792,Honolulu County
21.386664,-158.150869,Subway,96707,Honolulu County
21.331606,-158.092477,Subway,96707,Honolulu County
21.337915,-158.080618,Subway,96707,Honolulu County
21.493785,-158.061559,Subway,96857,Honolulu County
21.322656,-158.061283,Subway,96707,Honolulu County
21.485313,-158.047115,Subway,96857,Honolulu County
21.392877,-158.033189,Subway,96797,Honolulu County
21.497232,-158.026178,Subway,96786,Honolulu County
21.377623,-158.024191,Subway,96797,Honolulu County
21.334103,-158.023360,Subway,96706,Honolulu County
21.442115,-158.021603,Subway,96789,Honolulu County
21.458387,-158.015934,Subway,96789,Honolulu County
21.319620,-158.014982,Subway,96706,Honolulu County
21.400529,-158.007851,Subway,96797,Honolulu County
21.453306,-158.007717,Subway,96789,Honolulu County
21.384241,-158.004343,Subway,96797,Honolulu County
21.427269,-158.001453,Subway,96789,Honolulu County
21.337191,-157.956930,Subway,96860,Honolulu County
21.390311,-157.953196,Subway,96782,Honolulu County
21.341624,-157.951183,Subway,96860,Honolulu County
21.354456,-157.942708,Subway,96818,Honolulu County
21.381170,-157.941786,Subway,96701,Honolulu County
21.386188,-157.941746,Subway,96701,Honolulu County
21.353790,-157.938619,Subway,96818,Honolulu County
21.353077,-157.938456,Subway,96818,Honolulu County
21.378952,-157.931087,Subway,96701,Honolulu County
21.353100,-157.930293,Subway,96818,Honolulu County
21.342892,-157.928717,Subway,96818,Honolulu County
21.364369,-157.928333,Subway,96818,Honolulu County
21.647121,-157.921646,Subway,96762,Honolulu County
21.344915,-157.913104,Subway,96818,Honolulu County
21.335980,-157.909985,Subway,96818,Honolulu County
21.387014,-157.908084,Subway,96701,Honolulu County
21.356140,-157.893819,Subway,96859,Honolulu County
21.325281,-157.889248,Subway,96819,Honolulu County
21.588162,-157.889103,Subway,96717,Honolulu County
21.344649,-157.883825,Subway,96819,Honolulu County
21.334159,-157.880108,Subway,96819,Honolulu County
21.319080,-157.876065,Subway,96850,Honolulu County
21.321453,-157.873300,Subway,96850,Honolulu County
21.316268,-157.870750,Subway,96850,Honolulu County
21.335698,-157.869032,Subway,96819,Honolulu County
21.307118,-157.863582,Subway,96850,Honolulu County
21.301739,-157.863167,Subway,96850,Honolulu County
21.308866,-157.862776,Subway,96850,Honolulu County
21.320245,-157.861588,Subway,96813,Honolulu County
21.307586,-157.860963,Subway,96850,Honolulu County
21.310401,-157.860715,Subway,96850,Honolulu County
21.302387,-157.858086,Subway,96850,Honolulu County
21.294254,-157.855752,Subway,96814,Honolulu County
21.316766,-157.855445,Subway,96813,Honolulu County
21.508274,-157.853262,Subway,96730,Honolulu County
21.301485,-157.845476,Subway,96813,Honolulu County
21.289557,-157.842759,Subway,96814,Honolulu County
21.294195,-157.841898,Subway,96814,Honolulu County
21.305632,-157.838485,Subway,96813,Honolulu County
21.285193,-157.838174,Subway,96814,Honolulu County
21.290750,-157.837585,Subway,96814,Honolulu County
21.286279,-157.833493,Subway,96826,Honolulu County
21.279156,-157.831179,Subway,96815,Honolulu County
21.279047,-157.828760,Subway,96815,Honolulu County
21.437736,-157.827427,Subway,96744,Honolulu County
21.279476,-157.825979,Subway,96815,Honolulu County
21.276992,-157.825233,Subway,96815,Honolulu County
21.292408,-157.823671,Subway,96826,Honolulu County
21.272170,-157.822919,Subway,96815,Honolulu County
21.299210,-157.820309,Subway,96826,Honolulu County
21.309129,-157.811237,Subway,96822,Honolulu County
21.287918,-157.809467,Subway,96826,Honolulu County
21.417971,-157.806377,Subway,96744,Honolulu County
21.420469,-157.803484,Subway,96744,Honolulu County
21.420241,-157.803024,Subway,96744,Honolulu County
21.282119,-157.800422,Subway,96826,Honolulu County
21.402616,-157.798774,Subway,96734,Honolulu County
21.278448,-157.787481,Subway,96816,Honolulu County
21.275011,-157.785220,Subway,96816,Honolulu County
21.278605,-157.755214,Subway,96821,Honolulu County
21.439966,-157.754219,Subway,96863,Honolulu County
21.394435,-157.744569,Subway,96734,Honolulu County
21.393903,-157.741157,Subway,96734,Honolulu County
21.378658,-157.728653,Subway,96734,Honolulu County
21.348094,-157.721706,Subway,96795,Honolulu County
21.351509,-157.706972,Subway,96795,Honolulu County
21.276400,-157.705107,Subway,96825,Honolulu County
21.067866,-156.958213,Subway,96748,Maui County
20.947268,-156.688334,Subway,96761,Maui County
20.879358,-156.678665,Subway,96761,Maui County
20.887904,-156.500637,Subway,96793,Maui County
20.891867,-156.465375,Subway,96793,Maui County
20.751175,-156.449085,Subway,96753,Maui County
20.689186,-156.431356,Subway,96753,Maui County
20.838691,-156.342084,Subway,96779,Maui County
19.689026,-156.018139,Subway,96740,Hawaii County
19.652468,-155.999489,Subway,96740,Hawaii County
19.646553,-155.989066,Subway,96725,Hawaii County
19.571484,-155.963330,Subway,96725,Hawaii County
19.940299,-155.788779,Subway,96738,Hawaii County
19.926945,-155.787524,Subway,96738,Hawaii County
19.721904,-155.085416,Subway,96720,Hawaii County
19.707012,-155.074746,Subway,96720,Hawaii County
19.692288,-155.066225,Subway,96749,Hawaii County
19.508845,-154.959061,Subway,96749,Hawaii County
59.648238,-151.529039,Subway,99556,Kenai Peninsula Borough
60.559544,-151.237939,Subway,99669,Kenai Peninsula Borough
60.563301,-151.227000,Subway,99669,Kenai Peninsula Borough
60.484379,-151.152633,Subway,99669,Kenai Peninsula Borough
60.483603,-151.067986,Subway,99669,Kenai Peninsula Borough
61.139304,-149.951640,Subway,99518,Anchorage Municipality
61.179106,-149.939363,Subway,99517,Anchorage Municipality
61.141369,-149.934664,Subway,99518,Anchorage Municipality
61.201331,-149.916029,Subway,99503,Anchorage Municipality
61.195421,-149.908322,Subway,99503,Anchorage Municipality
61.173486,-149.888472,Subway,99518,Anchorage Municipality
61.217433,-149.887888,Subway,99513,Anchorage Municipality
61.230196,-149.874770,Subway,99513,Anchorage Municipality
61.192206,-149.868494,Subway,99503,Anchorage Municipality
61.165277,-149.867292,Subway,99518,Anchorage Municipality
61.144311,-149.866964,Subway,99518,Anchorage Municipality
61.139680,-149.864381,Subway,99518,Anchorage Municipality
61.119508,-149.861899,Subway,99515,Anchorage Municipality
61.112049,-149.858661,Subway,99515,Anchorage Municipality
61.108509,-149.857713,Subway,99515,Anchorage Municipality
61.139146,-149.834433,Subway,99518,Anchorage Municipality
61.181119,-149.830095,Subway,99508,Anchorage Municipality
61.209778,-149.827845,Subway,99508,Anchorage Municipality
61.189913,-149.821579,Subway,99508,Anchorage Municipality
61.189668,-149.819257,Subway,99508,Anchorage Municipality
61.215349,-149.812089,Subway,99508,Anchorage Municipality
61.099824,-149.804294,Subway,99515,Anchorage Municipality
61.199084,-149.803777,Subway,99508,Anchorage Municipality
61.220870,-149.778795,Subway,99508,Anchorage Municipality
61.137789,-149.777588,Subway,99515,Anchorage Municipality
61.233346,-149.762047,Subway,99504,Anchorage Municipality
61.181019,-149.751186,Subway,99504,Anchorage Municipality
61.230989,-149.740330,Subway,99504,Anchorage Municipality
61.223711,-149.734477,Subway,99504,Anchorage Municipality
61.224014,-149.733638,Subway,99504,Anchorage Municipality
61.258291,-149.681918,Subway,99505,Anchorage Municipality
61.583027,-149.636195,Subway,99654,Matanuska-Susitna Borough
61.296220,-149.580331,Subway,99505,Anchorage Municipality
61.329949,-149.570179,Subway,99567,Anchorage Municipality
61.317544,-149.516128,Subway,99567,Anchorage Municipality
61.563064,-149.458936,Subway,99654,Matanuska-Susitna Borough
60.116636,-149.440818,Subway,99664,Kenai Peninsula Borough
61.581760,-149.437567,Subway,99654,Matanuska-Susitna Borough
61.575964,-149.405335,Subway,99654,Matanuska-Susitna Borough
61.584935,-149.359334,Subway,99654,Matanuska-Susitna Borough
61.599157,-149.119190,Subway,99654,Matanuska-Susitna Borough
