latitude,longitude,name,zipcode,county
61.180455,-149.831239,Taco Bell,99503,Anchorage Municipality
61.140681,-149.863835,Taco Bell,99518,Anchorage Municipality
61.138362,-149.950604,Taco Bell,99518,Anchorage Municipality
61.195475,-149.901075,Taco Bell,99503,Anchorage Municipality
61.329928,-149.568424,Taco Bell,99567,Anchorage Municipality
64.833753,-147.812454,Taco Bell,99775,Fairbanks North Star Borough
64.853021,-147.713805,Taco Bell,99790,Yukon-Koyukuk Census Area
61.258040,-149.673957,Taco Bell,99505,Anchorage Municipality
64.826620,-147.642470,Taco Bell,99790,Yukon-Koyukuk Census Area
64.756220,-147.353902,Taco Bell,99705,Fairbanks North Star Borough
61.599191,-149.127888,Taco Bell,99654,Matanuska-Susitna Borough
60.489626,-151.052677,Taco Bell,99669,Kenai Peninsula Borough
61.576756,-149.408176,Taco Bell,99654,Matanuska-Susitna Borough
33.233709,-86.804889,Taco Bell,35007,Shelby County
34.280030,-86.216600,Taco Bell,35951,Marshall County
32.935347,-85.972976,Taco Bell,35089,Coosa County
31.311371,-86.499505,Taco Bell,36421,Covington County
33.672070,-85.826960,Taco Bell,36206,Calhoun County
34.332810,-86.503550,Taco Bell,35016,Marshall County
34.794809,-86.972450,Taco Bell,35613,Limestone County
34.782065,-86.935294,Taco Bell,35613,Limestone County
31.105559,-87.477168,Taco Bell,36502,Escambia County
34.017780,-86.079240,Taco Bell,35906,Etowah County
32.566875,-85.501515,Taco Bell,36832,Lee County
32.602271,-85.479753,Taco Bell,36832,Lee County
30.883835,-87.787785,Taco Bell,36507,Baldwin County
33.402030,-86.953994,Taco Bell,35020,Jefferson County
33.394360,-86.971170,Taco Bell,35020,Jefferson County
33.557600,-86.889760,Taco Bell,35214,Jefferson County
33.524511,-86.724343,Taco Bell,35213,Jefferson County
33.634340,-86.684010,Taco Bell,35215,Jefferson County
33.506746,-86.798076,Taco Bell,35233,Jefferson County
33.497520,-86.876310,Taco Bell,35208,Jefferson County
