latitude,longitude,name,zipcode,county
33.232740,-86.809820,Whataburger,35007,Shelby County
33.426163,-86.706768,Whataburger,35242,Shelby County
31.149169,-87.065963,Whataburger,36426,Escambia County
33.326269,-86.650379,Whataburger,35043,Shelby County
30.762220,-88.074064,Whataburger,36611,Mobile County
32.800647,-86.575314,Whataburger,36091,Chilton County
30.367736,-87.683037,Whataburger,36535,Baldwin County
33.608862,-86.800349,Whataburger,35068,Jefferson County
30.672142,-88.099554,Whataburger,36606,Mobile County
30.640780,-88.224839,Whataburger,36695,Mobile County
30.678378,-88.191038,Whataburger,36609,Mobile County
33.334868,-86.784137,Whataburger,35124,Shelby County
30.801589,-88.095737,Whataburger,36571,Mobile County
33.639770,-86.626887,Whataburger,35235,Jefferson County
33.200500,-87.524950,Whataburger,35404,Tuscaloosa County
33.165271,-87.548891,Whataburger,35401,Tuscaloosa County
36.056735,-94.187927,Whataburger,72730,Washington County
36.124296,-94.144706,Whataburger,72703,Washington County
36.278225,-94.148299,Whataburger,72758,Benton County
36.193245,-94.176044,Whataburger,72762,Washington County
33.461539,-94.042946,Whataburger,75569,Bowie County
33.448951,-112.341256,Whataburger,85323,Maricopa County
32.879449,-111.748691,Whataburger,85122,Pinal County
33.305088,-111.968348,Whataburger,85226,Maricopa County
33.639532,-112.151085,Whataburger,85053,Maricopa County
33.485637,-112.365583,Whataburger,85395,Maricopa County
33.407439,-111.873310,Whataburger,85202,Maricopa County
33.408010,-111.772301,Whataburger,85204,Maricopa County
33.638352,-112.251074,Whataburger,85382,Maricopa County
33.429934,-112.099939,Whataburger,85007,Maricopa County
33.470739,-112.220965,Whataburger,85033,Maricopa County
33.524261,-112.111282,Whataburger,85017,Maricopa County
33.640341,-112.019790,Whataburger,85032,Maricopa County
33.610883,-112.120983,Whataburger,85053,Maricopa County
33.495001,-112.079812,Whataburger,85013,Maricopa County
33.404999,-111.978453,Whataburger,85034,Maricopa County
33.465583,-112.063858,Whataburger,85006,Maricopa County
33.481214,-111.908800,Whataburger,85251,Maricopa County
33.576894,-111.885936,Whataburger,85258,Maricopa County
33.413577,-111.926447,Whataburger,85282,Maricopa County
32.229395,-110.990512,Whataburger,85701,Pima County
32.297619,-110.996272,Whataburger,85705,Pima County
32.176599,-110.968087,Whataburger,85714,Pima County
32.133786,-110.975399,Whataburger,85714,Pima County
32.235822,-110.877276,Whataburger,85712,Pima County
32.206282,-110.853378,Whataburger,85708,Pima County
30.569773,-87.290229,Whataburger,32534,Escambia County
30.960992,-87.274344,Whataburger,32535,Escambia County
30.721985,-86.569382,Whataburger,32536,Okaloosa County
30.687733,-86.122812,Whataburger,32435,Walton County
30.395449,-86.510151,Whataburger,32541,Okaloosa County
30.378141,-86.352050,Whataburger,32550,Walton County
30.445775,-87.254256,Whataburger,32505,Escambia County
30.404612,-86.616526,Whataburger,32579,Okaloosa County
30.428055,-86.639633,Whataburger,32544,Okaloosa County
30.358566,-87.155957,Whataburger,32561,Santa Rosa County
30.262995,-81.623104,Whataburger,32207,Duval County
30.242130,-81.598209,Whataburger,32217,Duval County
30.295818,-81.775077,Whataburger,32210,Duval County
30.286938,-81.564676,Whataburger,32216,Duval County
30.221917,-85.648895,Whataburger,32444,Bay County
30.628743,-87.042890,Whataburger,32583,Santa Rosa County
30.401685,-86.889720,Whataburger,32563,Santa Rosa County
30.324058,-81.409412,Whataburger,32266,Duval County
30.487609,-86.421668,Whataburger,32541,Okaloosa County
30.100620,-81.709183,Whataburger,32003,Clay County
30.171568,-81.746607,Whataburger,32073,Clay County
30.603125,-87.116266,Whataburger,32514,Escambia County
30.642639,-87.180497,Whataburger,32571,Santa Rosa County
30.239721,-85.911664,Whataburger,32413,Bay County
30.427420,-87.270790,Whataburger,32505,Escambia County
30.445289,-87.236929,Whataburger,32505,Escambia County
30.533236,-87.265740,Whataburger,32534,Escambia County
30.417061,-87.204689,Whataburger,32501,Escambia County
30.472877,-87.212332,Whataburger,32504,Escambia County
30.471109,-87.244514,Whataburger,32505,Escambia County
30.463270,-87.302293,Whataburger,32505,Escambia County
30.493889,-87.220734,Whataburger,32504,Escambia County
29.943758,-82.096279,Whataburger,32091,Bradford County
30.454349,-84.278243,Whataburger,32301,Leon County
30.427562,-84.237619,Whataburger,32301,Leon County
30.476553,-84.297834,Whataburger,32308,Leon County
30.432740,-84.302114,Whataburger,32301,Leon County
30.627609,-81.552230,Whataburger,32097,Nassau County
30.839252,-83.943679,Whataburger,31757,Thomas County
30.387808,-91.062394,Whataburger,70809,East Baton Rouge Parish
32.517431,-93.716642,Whataburger,71101,Caddo Parish
32.554961,-93.710522,Whataburger,71111,Bossier Parish
30.236961,-90.912127,Whataburger,70737,Ascension Parish
30.253521,-92.037669,Whataburger,70507,Lafayette Parish
30.189683,-92.014894,Whataburger,70508,Lafayette Parish
30.184676,-92.075142,Whataburger,70506,Lafayette Parish
32.523161,-92.098053,Whataburger,71201,Ouachita Parish
32.540730,-92.628221,Whataburger,71270,Lincoln Parish
32.430959,-93.714228,Whataburger,71105,Caddo Parish
32.402219,-93.798606,Whataburger,71118,Caddo Parish
